id,title,main_story,main_plus_extras,completionist,all_styles,coop,versus,type,developers,publishers,platforms,genres,release_na,release_eu,release_jp
3278,Extreme-G 2,3.0,,12.0,5.5,,,,Probe Entertainment,Acclaim Entertainment,"Nintendo 64, PC",Racing,1998-10-07,,
3279,Exzisus,0.5,,,0.5,,,,Taito Corporation,Taito Corporation,Arcade,"Scrolling, Arcade, Shooter",,,
3280,Eye of the Beholder,6.0,15.0,22.0,14.0,,,,Westwood Associates,"Strategic Simulations, Capcom (SNES), Sega (Sega CD)","Amiga, PC",Role-Playing,1990-01-01,1990-01-01,
3281,Eye of the Beholder II: The Legend of Darkmoon,11.5,19.0,20.5,17.0,,,,Westwood Associates,Strategic Simulations Inc.,"Amiga, PC",Role-Playing,1991-12-01,1992-01-01,
3282,EyePet,27.0,,,27.0,,,,"SCE London Studio, Playlogic Game Factory",Sony Computer Entertainment,PlayStation 3,Virtual Pet,2010-09-05,2009-10-23,
3283,EyeToy: AntiGrav,10.0,,,10.0,,,,Harmonix,Sony Computer Entertainment,PlayStation 2,Extreme Sports,2004-11-09,,
3284,F-1 Race,4.0,,6.0,4.5,,,,Nintendo,Nintendo,Game Boy,Racing,1991-02-03,1991-10-10,1984-11-02
3285,F-1 World Grand Prix,5.0,8.0,,6.5,,,,"Paradigm Entertainment, Video System","Nintendo, Video System",Nintendo 64,,1998-07-27,,
3288,F-Zero,3.0,3.5,4.0,3.0,,,,Nintendo EAD,Nintendo,"Nintendo 3DS, Super Nintendo/Famicom, Wii, Wii U",Racing,1991-08-23,1992-06-04,1990-11-21
3289,F-Zero GX,10.5,21.0,44.5,21.0,,,,Amusement Vision,Nintendo,Nintendo GameCube,Racing,2003-08-25,,2003-07-25
3290,F-Zero X,6.0,10.0,15.0,8.5,,,,Nintendo EAD,Nintendo,"Nintendo 64, Wii",Racing,1998-10-26,1998-11-06,1998-07-14
3291,F-Zero: GP Legend,3.5,4.5,,4.5,,,,Suzak,Nintendo,"Game Boy Advance, Wii U",Racing,2004-09-20,2004-06-04,2003-11-28
3292,F-Zero: Maximum Velocity,2.5,6.0,16.5,5.0,,,,Nd Cube,Nintendo,"Game Boy Advance, Nintendo 3DS, Wii U",Racing,2001-06-11,2001-06-22,2001-03-21
3293,F.E.A.R.,8.5,10.5,11.5,9.0,,,,"Monolith Productions, Day 1 Studios",Vivendi Universal,"PC, PlayStation 3, Xbox 360","First-Person, Shooter",2005-10-17,,
3294,F.E.A.R. 2: Project Origin,7.0,9.0,10.5,8.0,,,,Monolith Productions,WB Games,"PC, PlayStation 3, Xbox 360","First-Person, Shooter",2009-02-10,,
