id,title,main_story,main_plus_extras,completionist,all_styles,coop,versus,type,developers,publishers,platforms,genres,release_na,release_eu,release_jp
1,688(I) Hunter/Killer,9.5,24.0,50.5,15.5,,,,Sonalysts,Electronic Arts,PC,Simulation,1997-07-04,,
18,'Splosion Man,8.0,10.0,18.0,9.0,,,,Twisted Pixel Games,Microsoft Games Studios,"Xbox 360, Xbox One","Action, Platformer",2009-07-22,2009-07-22,
19,.hack//G.U. Vol. 1: Rebirth,20.5,25.5,39.0,24.0,,,,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing",2006-10-24,,2006-05-18
20,.hack//G.U. Vol. 2: Reminisce,22.5,35.5,50.0,31.0,,,,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing",2007-05-08,,2006-09-28
21,.hack//G.U. Vol. 3: Redemption,23.5,32.5,48.0,29.0,,,,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing",2008-03-25,,2007-01-18
22,.hack//Infection,18.0,20.5,28.5,20.5,,,,"CyberConnect2 Co., Ltd.",Bandai S.A.,PlayStation 2,"Action, role-playing",2003-02-11,,
23,.hack//Link,29.0,49.5,,43.5,,,,CyberConnect2,Namco Bandai Games,PSP,Role-Playing,,,2010-03-04
24,.hack//Mutation,16.5,21.5,32.0,21.5,,,,CyberConnect2,Bandai Games,PlayStation 2,"Action, role-playing",2003-05-07,,2002-09-09
25,.hack//Outbreak,19.5,20.0,22.0,20.5,,,,CyberConnect2,Bandai,PlayStation 2,Action RPG,2003-09-09,2004-09-10,2002-12-12
26,.hack//Quarantine,17.5,20.5,24.5,20.0,,,,CyberConnect2,Bandai,PlayStation 2,Action RPG,2004-01-20,2004-12-03,2003-04-10
27,007 Legends,6.5,7.5,9.0,6.5,,,,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter",2012-10-16,2012-10-19,
28,007 Legends: Skyfall DLC,0.4166666666666667,,0.5,0.48333333333333334,,,DLC/Expansion,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter",2012-09-11,,
29,007 Racing,3.0,,,3.0,,,,Eutechnyx,Electronic Arts,PlayStation,Racing,2000-11-20,2000-12-15,
30,007: Licence to Kill,0.8,3.0,,2.0,,,,Quixel,Domark,"PC, Sega Mega Drive/Genesis","Top-Down, Shooter",1989-04-20,,
31,0D Beat Drop,,,,,,,,Arc System Works,,,"Music, Rhythm, Puzzle",2009-11-11,,
32,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1.0,,1.5,1.5,,,,Dejobaan Games,Dejobaan Games,PC,Music,2011-04-01,,
33,GO Series: 10 Second Run,1.0,2.5,,2.0,,,,GAMEBRIDGE,,Nintendo 3DS,Platform,2010-09-20,,
34,10-Yard Fight,0.35,0.6833333333333333,1.5,1.0,,,,Irem,Irem,NES,Sports,1983-01-01,,1983-12-01
35,100 All-Time Favorites,,15.5,,15.5,,,,,Ubisoft,Nintendo DS,"Card Game, Puzzle",,,
36,100 Rogues,,,,,,,,Dinofarm Games,Fusion Reactions,,Roguelike,2010-05-04,,
37,1000 Amps,4.0,4.0,5.0,4.5,,,,Brandon Brizzi,Brandon Brizzi,PC,"Adventure, Platform, Puzzle",2012-02-22,,
38,10000000,6.0,7.5,8.5,7.0,,,,EightyEight Games,EightyEight Games,"Mobile, PC","Puzzle, Role-Playing",2012-08-29,,
39,101-in-1 Explosive Megamix,,,20.0,20.0,,,,Nordcurrent,Atlus,Nintendo DS,Various,2009-04-21,2008-11-28,
40,102 Dalmatians: Puppies to the Rescue,6.5,7.5,8.5,7.5,,,,"Crystal Dynamics, Toys for Bob",Eidos Interactive,"Dreamcast, Game Boy Color, PC, PlayStation","Action, Platformer",2000-11-15,,
41,1080 Snowboarding,3.0,7.0,11.5,5.0,,,,Nintendo EAD,Nintendo,"Nintendo 64, Wii, Wii U",Racing,1998-04-01,,1998-02-28
42,1080° Avalanche,4.5,8.5,18.5,9.0,,,,NST,Nintendo,Nintendo GameCube,"Arcade, Sports",2003-12-01,,2004-01-22
43,11eyes CrossOver,,,,,,,,Lass,5pb.,,Visual Novel,,,2009-04-02
44,11eyes ~Tsumi to Batsu to Aganai no Shoujo~,,,,,,,,Lass,"M-trix, Lass, 5pb.",PC,Visual Novel,,,2008-04-05
46,15 Days,6.5,7.0,8.0,7.0,,,,House of Tales Entertainment,"Lace Mamba Global, dtp entertainment",PC,"Adventure, Role-Playing",,2010-06-25,
48,18 Wheeler: American Pro Trucker,1.0,,2.0,1.0,,,,Sega-AM2,"Sega, Acclaim","Dreamcast, PlayStation 2","Action, Racing",2001-05-25,2001-06-01,2000-10-12
50,18 Wheels of Steel: American Long Haul,20.0,,,20.0,,,,SCS Software,ValuSoft,PC,"Racing, Simulation",2007-12-03,,
51,1916 - Der unbekannte Krieg,0.25,,0.4166666666666667,0.3,,,,DADIU,DADIU,PC,"Action, Adventure",,,
52,1924,0.25,,,0.25,,,,,,Browser,"Action, Platform",,,
54,1942,2.0,3.5,4.0,2.5,,,,Capcom,Capcom,"Arcade, NES",,1984-12-01,,
55,1942: Joint Strike,1.5,,,1.5,,,,Backbone Entertainment,Capcom,"PlayStation 3, Xbox 360",Vertical scrolling shooter,2008-07-23,2008-07-23,
56,1943: The Battle of Midway,3.0,,,3.0,,,,Capcom,Capcom,NES,"Top-Down, Scrolling, Arcade",1987-06-01,,1988-06-01
57,1944: The Loop Master,0.7833333333333333,0.8166666666666667,,0.8,,,,8ing/Raizing,Capcom,Arcade,Scrolling Shooter,2000-06-20,,2000-06-20
58,1991 Du Ma Racing,,,,,,,,Idea-Tek,Super Mega,,Sports,,,1991-01-01
59,19XX: The War Against Destiny,0.5833333333333334,,4.0,0.85,,,,Capcom,Capcom,"Arcade,","Scrolling, Shooter",1996-12-07,1995-12-18,1995-12-25
60,2010 FIFA World Cup South Africa,,,,,,,,"EA Canada, HB Studios",EA Sports,"PlayStation 3, Wii, Xbox 360",Sports,2010-04-27,2010-04-30,
61,24: The Game,11.5,,,11.5,,,,SCE Studio Cambridge,"2K Games, Sony Computer Entertainment",PlayStation 2,Third-person shooter,2006-02-27,2006-03-17,
62,25 To Life,4.0,4.0,11.0,4.5,,,,"Avalanche Software, Ritual Entertainment",Eidos Interactive,"PC, PlayStation 2, Xbox",Third-person shooter,2006-01-17,2007-06-01,
63,3 on 3 NHL Arcade,1.0,,1.5,1.0,,,,EA Canada,EA Sports,"PlayStation 3, Xbox 360",Sports,2009-02-11,2009-02-11,
65,3-D WorldRunner,1.5,2.0,,1.5,,,,Square,"DOG, Acclaim",NES,"Third-Person, On-Rails, Shooter",1987-09-01,,1987-03-01
66,3079,3.0,3.5,3.5,3.5,,,,phr00t,,PC,"First-Person, Action, Open World, Role-Playing, Shooter",2011-01-01,,
67,3D Classics: Excitebike,1.5,5.5,5.5,2.5,,,,Nintendo,Nintendo,Nintendo 3DS,Racing,2011-06-06,2011-06-06,2011-06-06
69,3D Dot Game Heroes,15.5,22.0,27.5,20.0,,,,Silicon Studio,Atlus,PlayStation 3,"Action, Adventure",2010-05-11,2010-05-14,2009-11-05
70,3D Pinball Express,,,,,,,,,Kelly Media,,Pinball,,,
71,3D Ultra MiniGolf Adventures,,,,,,,,Wanako Studios,Sierra On-Line,"PC, Xbox 360",Sports,2007-04-18,,
72,3D Ultra MiniGolf Adventures 2,,,20.0,20.0,,,,Wanako Studios,Sierra On-Line,PC,Sports,2006-12-20,,
73,The 3-D Battles of WorldRunner,,,,,,,,Square,Acclaim Entertainment,NES,,,,1987-03-12
74,3rd Super Robot Wars Alpha: To the End of the Galaxy,79.0,,,79.0,,,,Banpresto,Banpresto,PlayStation 2,Tactical RPG,,,2005-07-28
75,3SwitcheD,1.5,,,1.5,,,,Reality Pump,Topware Interactive,PC,,2012-03-29,,
76,3Xtreme,0.8333333333333334,4.0,,1.5,,,,989 Sports,989 Sports,PlayStation,Sports,1999-04-21,,
77,4 Elements,8.5,9.0,10.0,9.5,,,,Playrix Entertainment,Playrix Entertainment,"Nintendo DS, PC","Adventure, Puzzle",2008-09-03,,
78,4 Wheel Drive,0.6666666666666666,,,0.6666666666666666,,,,IDL Group,Gremlin Graphics,Game Boy,"First-Person, Racing",,,
79,40 Winks,6.5,10.0,,7.5,,,,Eurocom,GT Interactive,PlayStation,Platform,1999-11-14,1999-11-01,
80,400 Years,0.35,,,0.35,,,,Scriptwelder,,"Browser, PC",Puzzle,,,
83,4x4 Hummer,7.0,,,7.0,,,,Avalon Style Entertainment,"505 Games, 1C Company",PC,Racing,2009-06-15,2008-04-04,
84,5 Days a Stranger,3.0,,,3.0,,,,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,2003-09-29,,
85,50 Cent: Blood on the Sand,5.5,7.0,8.5,6.0,,,,Swordfish Studios,THQ,"PlayStation 2, PlayStation 3, Xbox 360","Third-Person, Shooter",2009-02-24,2009-02-20,
86,50 Cent: Bulletproof,6.0,,,6.0,,,,"Genuine Games, Interscope, High Voltage Software","Sierra Entertainment, Vivendi Games","PlayStation 2, PSP, Xbox",Action,2005-11-17,2005-11-25,
87,6 Day Assassin,0.25,,,0.25,,,,,,PC,Adventure,,,
88,6 Days a Sacrifice,3.0,,,3.0,,,,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,2007-01-25,,
89,6 Degrees of Sabotage,0.25,,0.2833333333333333,0.25,,,,Lucas Pope,,Browser,,,,
90,60 Seconds Burger Run,0.08333333333333333,,0.25,0.08333333333333333,,,,,,Browser,Action,,,
91,60 Seconds Santa Run,0.25,,,0.25,,,,,,Browser,,,,
93,7 Days a Skeptic,3.0,,,3.0,,,,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,2004-07-27,2004-07-27,
94,7 Wonders: Magical Mystery Tour,4.5,6.5,7.0,6.5,,,,MumboJumbo,,PC,Puzzle,2012-04-11,,
95,7 Wonders II,5.5,5.5,6.5,5.0,,,,MumboJumbo,MumboJumbo,PC,Puzzle,2008-06-10,,
96,7 Wonders of the Ancient World,3.0,5.0,6.0,5.5,,,,Hot Lava Games,MumboJumbo,"PC, PSP",Puzzle,2007-02-02,,
97,7 Wonders: Ancient Alien Makeover,5.5,9.0,12.0,9.5,,,,MumboJumbo,MumboJumbo,PC,Puzzle,,,
98,7 Wonders: Treasures of Seven,7.0,7.5,9.0,7.5,,,,MumboJumbo,MumboJumbo,PC,Puzzle,2008-10-24,,
100,720 Degrees,3.0,,3.0,3.0,,,,Atari Games,Atari Games,NES,Sports,1986-12-01,,
101,7th Dragon,35.0,50.0,81.0,48.0,,,,"Sega AM1, imageepoch",Sega,Nintendo DS,Role-Playing,,,2009-03-05
102,7th Dragon 2020,22.5,33.5,37.0,35.0,,,,"Sega AM1, imageepoch",Sega,PSP,Role-Playing,,,2011-11-23
103,7th Dragon 2020-II,,34.0,35.0,34.5,,,,Sega,Sega,PSP,,,,2013-04-18
104,8 Eyes,2.5,,,2.5,,,,Thinking Rabbit,Taxan,NES,Platform,1990-01-01,,1988-09-27
105,8-Bit Commando,0.8666666666666667,,4.0,1.5,,,,2DEngine,,PC,"Action, Platform, Shooter",2011-07-09,,
107,80 Days: Around the World Adventure,8.0,,8.5,8.5,,,,,,PC,Adventure,,,
108,8Ball Allstars,,,8.0,8.0,,,,Code Monkeys,Oxygen Games,Nintendo DS,Sports,2010-05-11,,
109,90 Minutes,,,,,,,,Smilebit,Sega,,Sports,,2001-10-25,
110,99 Levels to Hell,8.0,13.0,60.0,23.5,,,,ZaxisGames,,PC,"Action, Platform, Shooter",2013-02-26,,
111,"999: Nine Hours, Nine Persons, Nine Doors",9.5,18.0,21.5,18.0,,,,Chunsoft,Aksys Games,"Mobile, Nintendo 2DS, Nintendo 3DS, Nintendo DS, PC, PlayStation 4, PlayStation Vita",Visual Novel,2010-11-16,,2009-12-10
114,9:05,0.25,,,0.25,,,,Adam Cadre,,PC,Adventure,2000-02-10,,
115,9th Company: Roots of Terror,4.0,,,4.0,,,,"Noviy Disk, Lesta Studios",Strategy First,PC,"Real-Time, Strategy",2009-12-03,,
116,9th Dawn,,,,,,,,Valorware,,,"Action, Adventure, Role-Playing",,,
117,:the game:,0.45,,0.5,0.4666666666666667,,,,,,Browser,,,,
119,A Boy and His Blob,9.5,10.0,18.0,13.0,,,,WayForward Technologies,Majesco Games,"PC, PlayStation 4, PlayStation Vita, Wii","Platform, Puzzle",2009-10-13,2009-11-06,
120,A Boy and His Blob: Trouble on Blobolonia,0.9666666666666667,,3.0,2.0,,,,Imagineering,"Absolute Entertainment, Jaleco, Majesco",NES,"Platform, Puzzle",1990-01-01,1991-07-01,1990-11-29
121,A Bug's Life,5.5,11.5,12.5,11.0,,,,Traveller's Tales,Disney Interactive,"Nintendo 64, PC, PlayStation, PlayStation 2",Platform,1998-11-18,1998-11-06,
122,A Collection of Activision Classic Games for the Atari 2600,,,,,,,,Learning Technologies Interactive,Activision,,Various,1998-09-30,,
124,A Duck Has An Adventure,,,0.25,0.25,,,,E-merl,,"Browser, PC",Adventure,,,
125,A Farewell to Dragons,,,,,,,,"Arise, KranX Productions",1C Company,,"Role-Playing, Adventure",2009-11-11,,
126,A Flipping Good Time,,,3.5,3.5,,,,DigiPen Institute of Technology,DigiPen Institute of Technology,PC,"Arcade, Platform",,,
127,A Game of Dwarves,35.0,35.5,68.5,45.0,,,,Zeal Game Studio,Paradox Interactive,PC,"City-Building, Strategy",2012-01-01,,
128,A Game of Thrones: Genesis,10.0,,63.0,15.0,,,,Cyanide,Focus Home Interactive,PC,Strategy,2011-09-29,2011-09-29,
130,A Hat in Time,8.5,12.5,15.0,12.5,,,,Gears for Breakfast,Gears for Breakfast,"PC, PlayStation 4, Xbox One","Adventure, Platform",2017-10-05,2017-10-05,
131,A Kingdom for Keflings,6.0,17.0,33.5,12.5,,,,NinjaBee,Microsoft Game Studios,"PC, Xbox 360, Xbox One",Simulation,2008-11-19,,
132,A Mind Forever Voyaging,,,,,,,,Infocom,Infocom,,Interactive Fiction,1985-08-14,,
133,A Nation of Wind,,,,,,,,,,,"Real-Time, Strategy",2012-01-01,,
134,A New Beginning,9.0,10.0,10.0,10.0,,,,Daedalic Entertainment,"Daedalic, Lace Mamba",PC,"Point-and-Click, Adventure",2011-05-20,,
136,A Nightmare on Elm Street,1.0,2.0,,1.5,,,,Rare,LJN,NES,Platform,1990-10-01,,
137,A Space Shooter For Two Bucks!,5.5,,20.0,8.0,,,,Frima Studio Inc.,Frima Studio Inc.,PSP,Shoot em' up,2010-12-21,2010-12-21,
138,A Stroke of Fate: Operation Valkyrie,7.0,,9.0,8.5,,,,SPLine,Akella,PC,"Point-and-Click, Adventure",2009-02-13,,
139,A Tale of Two Kingdoms,,,,,,,,Crystal Shard,Crystal Shard,,Adventure,2007-07-15,,
140,A Valley Without Wind,17.5,,92.0,21.5,,,,Arcen Games,Arcen Games,PC,"Strategy, Adventure, Role-Playing",2012-04-23,,
141,A Valley Without Wind 2,9.5,11.0,,9.5,,,,Arcen Games,Arcen Games,PC,"Action, Adventure, Strategy",2013-02-18,,
142,A Vampyre Story,7.5,,7.5,7.5,,,,Autumn Moon Entertainment,"Crimson Cow, The Adventure Company",PC,Adventure,2008-12-02,2008-11-21,
143,A Virus Named Tom,4.0,11.0,27.0,6.0,,,,Misfits Attic,Misfits Attic,"PC, PlayStation Vita","Action, Puzzle",2012-08-01,,
144,A Walk in the Dark,3.5,4.0,13.0,4.5,,,,Flying Turtle Software,,PC,Platform,2013-11-07,2013-11-07,
145,A Witch's Tale,16.0,17.5,22.5,18.0,,,,Hit Maker,"Nippon Ichi Software, NIS America",Nintendo DS,Role-Playing,2009-10-06,,2009-05-28
146,A World of Keflings,7.0,10.5,14.0,10.0,,,,NinjaBee,Microsoft Studios,"PC, Xbox 360",Simulation,2010-12-22,,
148,A-Train,,,,,,,,Artdink,Maxis,,Simulation,1985-01-01,,
149,A.I.M. Racing,14.0,,,14.0,,,,SkyRiver Studios,1C Company,PC,Racing,2010-01-22,,
150,A.R.C. Squadron,3.0,,,3.0,,,,Psyonix Studios,,iOS,"Action, Shooter",2012-11-01,,
152,A.R.E.S.: Extinction Agenda,2.0,3.0,8.0,2.5,,,,Extend Studio,ORiGO GAMES,PC,"Action, Shooter",2011-01-19,2011-01-19,
153,AaAaAA!!! - A Reckless Disregard for Gravity,4.0,5.5,12.0,6.0,,,,Dejobaan Games,,PC,"First-Person, Simulation",2009-09-03,,
154,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,4.0,5.0,10.5,5.5,,,,Dejobaan Games,Dejobaan Games,"Mobile, PC","First-Person, Action",2011-11-24,2011-11-24,
155,Abadox,,,,,,,,"Natsume, Dynamic Planning, ITL","Natsume, Milton Bradley",,Shooter,1990-03-01,,
156,Abadox: The Deadly Inner War,0.75,1.0,1.5,0.8666666666666667,,,,Natsume,"Natsume, Milton Bradley",NES,Shoot 'em up,1990-03-01,1998-04-06,1989-12-15
157,Abarenbou Princess,,,,,,,,,Kadokawa Shoten,,Role-Playing,,,2001-11-29
159,Abobo's Big Adventure,1.5,2.0,,2.0,,,,I-Mockery,,"Browser, PC","Action, Adventure",2012-01-11,,
161,Abuse,5.5,,,5.5,,,,Crack dot Com,"Electronic Arts, Red Hat, Bungie",PC,"Action, Shooter",1996-01-01,,
162,Quake Mission Pack: Abyss Of Pandemonium,5.0,,,5.0,,,Mod,"Cybermind, Impel Development Team",Perfect Publishing,PC,"First-Person, Shooter",1998-04-14,,
163,Rock Band Track Pack: AC/DC Live,4.0,,4.0,4.0,,,,"Harmonix Music Systems, Pi Studios",MTV Games,"PlayStation 2, PlayStation 3, Xbox 360",,2008-11-02,2008-12-19,
165,Ace Attorney Investigations: Miles Edgeworth,23.0,24.0,24.0,23.5,,,,Capcom,Capcom,"Mobile, Nintendo 3DS, Nintendo DS",Adventure,2010-02-16,2010-02-19,2009-05-28
166,Ace Combat 04: Shattered Skies,4.0,7.5,17.5,5.0,,,,Project Aces,Namco,PlayStation 2,"Arcade, Flight Combat, Simulation",2001-10-23,2002-02-08,2001-10-23
167,Ace Combat 2,3.5,6.5,13.0,4.5,,,,Namco,Namco,PlayStation,"Arcade, Combat Flight Simulator",,,1997-05-30
168,Ace Combat 3: Electrosphere,4.5,13.0,33.0,7.5,,,,Namco,"NA/JP: Namco, EU: SCEE",PlayStation,"Arcade, Combat Flight Simulator",2000-03-20,2000-01-21,1999-05-27
169,Ace Combat 5: The Unsung War,7.0,14.5,31.5,8.5,,,,Project Aces,"JP/NA: Namco, EU: SCEE","PlayStation 2, PlayStation 4","Arcade, Flight Combat",2004-10-25,2005-02-18,2004-10-21
170,Ace Combat 6: Fires of Liberation,10.5,19.0,,11.5,,,,Project Aces,Namco Bandai Games,"Xbox 360, Xbox One","Arcade, Combat Flight Simulator",2007-10-23,2007-11-23,2007-11-01
171,Ace Combat X: Skies of Deception,4.0,5.5,13.5,6.0,,,,Access Games,"Namco, Sony Computer Entertainment Europe (Europe only)",PSP,"Arcade, Combat Flight Simulator",2006-10-24,2006-11-08,2006-10-26
172,Ace Combat Zero: The Belkan War,4.0,8.5,25.5,5.5,,,,Project Aces,Namco Bandai,PlayStation 2,Arcade,2006-04-25,2006-09-15,2006-03-23
173,Ace Combat: Assault Horizon,8.5,10.5,,8.5,,,,Project Aces,Namco Bandai Games,"PC, PlayStation 3, Xbox 360","Arcade, Combat Flight Simulator",2011-10-11,2011-10-14,2011-10-13
174,Ace Combat: Assault Horizon - Enhanced Edition,8.5,32.5,77.0,12.5,,,,Namco,Namco Bandai Games,"PC, Xbox 360","Action, Flight, Simulation",2013-01-24,2013-01-24,
175,Ace Combat: Assault Horizon Legacy,4.0,8.0,14.0,5.0,,,,Project Aces,Namco Bandai Games,Nintendo 3DS,Action,2011-11-15,2011-12-02,2012-01-12
176,Ace Combat: Joint Assault,7.0,7.0,,7.0,,,,Access Games,Namco Bandai Games,PSP,"Arcade, Combat Flight Simulator",2010-08-31,2010-09-24,2010-08-26
177,Ace of Aces,,,,,,,,Artech Digital Entertainment,"Accolade, U.S. Gold",Atari 7800,"Flight Combat, Simulation",1986-01-01,,
178,Ace of Spades,,,,,,15.0,,Jagex Games Studio,Jagex Games Studio,PC,"First-Person, Sandbox, Shooter",2012-12-12,2012-12-12,
179,Aces of the Pacific,,28.0,,28.0,,,,Dynamix,Sierra Entertainment,PC,Flight Simulation,1992-01-01,,
180,Achievement Unlocked,0.25,0.38333333333333336,0.3333333333333333,0.35,,,,,,"Browser, PC",Platform,,,
181,Achron,70.0,,,70.0,,,,Hazardous Software,Hazardous Software,PC,"Real-Time, Strategy",2011-08-29,,
182,Achtung Panzer: Kharkov 1943,,,,,,,,Graviteam,NA: Paradox Interactive. EU: Mamba Games,,,2010-02-25,2010-04-14,
183,Acid Drop,,,,,,,,Dennis Kiss,Salu,,Puzzle,1992-01-01,,
184,Acrophobia,,,,,,,,Berkeley Systems,Berkeley Systems,,Trivia,1997-11-17,,
185,Across Age DX,,,22.0,22.0,,,,FDG Entertainment,FDG Entertainment,Mobile,Role-Playing,,,
186,Act of War: Direct Action,12.0,13.0,,12.5,,,,Eugen Systems,Atari,PC,"Real-Time, Strategy",2005-03-15,2005-03-18,
187,Action Bass,5.5,,,5.5,,,,,Take-Two Interactive,PlayStation,Sports,,,
188,Action Fighter,,,,,,,,Sega,Sega,,"Racing, Shooter",1996-01-01,,
189,Action Man: Raid on Island X,,,,,,,,"Intelligent Games, Ltd.","Hasbro Interactive, Inc.",,Action,2000-09-30,,
191,ActRaiser,5.0,5.0,5.5,5.0,,,,Quintet,"Enix, Square Enix","Super Nintendo/Famicom, Wii","Action, City-Building, Simulation",1991-11-01,1993-03-18,1990-12-16
192,ActRaiser 2,4.5,,,4.5,,,,Quintet,"EU: Ubisoft, JP/NA: Enix",Super Nintendo,Platform,1993-11-01,1994-01-01,1993-10-29
193,Actua Soccer,,,,,,,,Gremlin Interactive,Gremlin Interactive,PlayStation,Sports,1995-01-01,,
194,Actua Soccer: Club Edition,,,,,,,,Gremlin Interactive,Gremlin Interactive,PlayStation,Sports,,1996-01-01,
196,Actual Sunlight,1.0,1.0,1.5,1.5,,,,Will O'Neill,Will O'Neill,"PC, PlayStation Vita",Adventure,2014-04-03,,
197,Adagio,,,2.0,2.0,,,,17,17,PC,Visual Novel,2006-08-19,,2004-08-20
198,Adam's Venture - Episode 1: The Search for the Lost Garden,1.5,2.0,2.0,2.0,,,,Vertigo Digital Entertainment,Iceberg Interactive,PC,Adventure,2009-01-01,,
199,Adam's Venture - Episode 2: Solomon's Secret,2.0,2.5,2.5,2.5,,,,Vertigo Digital Entertainment,Iceberg Interactive,"PC, PlayStation 3",Adventure,2010-01-01,,
200,Adam's Venture - Episode 3: Revelations,2.0,2.0,2.5,2.0,,,,Vertigo Games,Iceberg Interactive,"PC, PlayStation 3",Adventure,2012-03-09,,
201,Addams Family Values,,,,,,,,Ocean Software,Ocean Software,,"Top-Down, Action, Role-Playing",1995-02-01,,
202,Adrenalin Misfits,,,,,,,,"8-4, Genki Co",Konami Corporation,,"Sports, Racing",2010-11-04,,
203,Advance Guardian Heroes,3.0,,,3.0,,,,Treasure,"Treasure, Ubisoft",Game Boy Advance,Fighting Action,2004-09-14,,2004-09-22
204,Advance Wars,14.0,20.5,29.5,15.5,,,,Intelligent Systems,Nintendo,"Game Boy Advance, Wii U",Turn-based tactics,2001-09-10,2002-01-11,2004-11-25
205,Advance Wars 2: Black Hole Rising,26.5,37.0,87.0,37.0,,,,Intelligent Systems,Nintendo,"Game Boy Advance, Wii U",Turn-based tactics,2003-06-23,2003-10-03,2004-11-25
206,Advance Wars: Days of Ruin,19.5,36.0,74.5,26.5,,,,Intelligent Systems,Nintendo,"Nintendo 3DS, Nintendo DS","Turn-Based, Tactical",2008-01-21,2008-01-25,
207,Advance Wars: Dual Strike,24.5,59.0,197.0,44.5,,,,Intelligent Systems,Nintendo,"Nintendo 3DS, Nintendo DS","Turn-Based, Tactical",2005-08-22,2005-09-30,2005-06-23
208,Advanced Dungeons & Dragons: Heroes of the Lance,4.0,,4.5,4.0,,,,U.S. Gold,"Strategic Simulations, U.S. Gold, Pony Canyon","NES, Sega Master System",Role-Playing,1988-01-01,,1991-03-08
209,Advanced Dungeons & Dragons: Slayer,,,,,,,,Lion Entertainment,Strategic Designs,,"Action, Role-Playing",1994-01-01,,1995-01-20
210,Advent Rising,8.0,8.0,9.0,8.0,,,,"GlyphX Games, Demiurge Studios",Majesco,"PC, Xbox","Third-person, action-adventure",2005-05-31,2005-06-30,
211,Adventure (1979),0.25,,0.75,0.26666666666666666,,,,Atari,Atari,Atari 2600,"Action, Adventure",1979-01-01,,
212,Adventure Apes and the Mayan Mystery,,,,,,,,ScaryPatato,ScaryPatato,,Platform,2012-01-01,,
213,Adventure Bar Story,58.0,70.0,71.0,68.0,,,,Rideon Japan,Rideon Japan; CIRCLE Entertainment,"Android, iOS",Simulation,2012-03-08,,
214,Adventure Island,0.9166666666666666,,2.0,2.0,,,,Hudson Soft,Hudson Soft,"Game Boy, NES",Platform,1988-09-01,1992-01-01,1986-09-12
215,Adventure Island II,2.5,,3.0,3.0,,,,Hudson Soft,Hudson Soft,"Game Boy, NES/Famicom",Platform,1991-02-01,,1991-04-26
216,Adventure Island III,1.5,,,1.5,,,,Hudson Soft,Hudson Soft,NES,"Platform, side-scroller",1992-09-01,,1992-07-31
217,Adventure Island: The Beginning,2.0,,,2.0,,,,Hudson Soft,Hudson Soft,Wii,Platform,2009-05-25,,2009-04-07
219,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,5.0,5.5,7.0,5.5,,,,WayForward Technologies,D3 Publisher,"Nintendo 3DS, Nintendo DS",Adventure,2012-11-20,,
220,Adventures in the Magic Kingdom,0.6666666666666666,,1.5,0.7333333333333333,,,,Capcom,Capcom,NES,Action,1990-06-01,1992-12-10,
222,Adventures of Dino Riki,1.0,,,1.0,,,,Hudson Soft,"JP: Rix Soft, NA: Hudson Soft",NES,Third-Person Shooter,1989-09-01,,1987-02-10
223,Adventures of Lolo,3.5,5.0,6.0,4.0,,,,HAL Laboratory,HAL America,"NES, Nintendo 3DS, Nintendo Switch, Wii, Wii U","Puzzle, Action",1989-04-20,1991-02-21,
224,Adventures of Lolo 2,4.0,,,4.0,,,,HAL Laboratory,HAL Laboratory,NES,Puzzle,1990-04-20,,1990-01-06
225,Adventures of Lolo 3,12.5,,,12.5,,,,HAL Laboratory,HAL Laboratory,NES,Platform,1991-11-21,1992-05-27,1990-12-26
229,Adventures of Tron,,,,,,,,APh Technological Consulting,Mattel Electronics,,Action,1982-01-01,,
230,Adventures To Go!,,,,,,,,Solutions 2 Go,Natsume,,"Action, Adventure",2009-09-22,,
231,Aedis Eclipse: Generation of Chaos,,25.0,,25.0,,,,Idea Factory,"Idea Factory, Nippon Ichi Software, Ghostlight",PSP,Turn-based Strategy,2007-04-24,2011-03-30,2006-05-25
232,Aegis Wing,2.5,4.5,8.0,4.0,,,,Microsoft/Carbonated Games,Microsoft Game Studios,Xbox 360,"Side-scroller, Shoot 'em up",2007-05-16,2007-05-16,
233,Aeon Avenger,,,,,,,,,Kemco,Android,Role-Playing,2013-01-01,,
234,Aeon Command,2.5,5.5,9.0,5.5,,,,Bat Country Games,Bat Country Games,PC,Strategy,2014-07-03,2014-07-03,2014-07-03
235,Aeon Flux,8.0,,,8.0,,,,Terminal Reality,Majesco Games,"PlayStation 2, Xbox","Action, Adventure",2005-11-17,,
